Time (s);key;;;;;
2,29E+01;228;;;;;
2,30E+01;229;;;;;
2,31E+01;230;;;;;
2,32E+01;231;;;;;
2,33E+01;232;;;;;
2,34E+01;233;;;;;
2,35E+01;234;;;;;
2,36E+01;235;;;;;
2,37E+01;236;;;;;
2,38E+01;237;;;;;
2,39E+01;238;;;;;
2,40E+01;239;;;;;
2,41E+01;240;;;;;
2,42E+01;241;;;;;
2,43E+01;242;;;;;
2,44E+01;243;;;;;
2,45E+01;244;;;;;
2,46E+01;245;;;;;
2,47E+01;246;;;;;
2,48E+01;247;;;;;
2,49E+01;248;;;;;
2,50E+01;249;;;;;
2,51E+01;250;;;;;
2,52E+01;251;;;;;
2,53E+01;252;;;;;
2,54E+01;253;;;;;
2,55E+01;254;;;;;
2,56E+01;255;;;;;
2,57E+01;256;;;;;
2,58E+01;257;;;;;
2,59E+01;258;;;;;
2,60E+01;259;;;;;1000000000
2,61E+01;260;;;;;
2,62E+01;261;;;;;
2,63E+01;262;;;;;
2,64E+01;263;;;;;
2,65E+01;264;;;;;
2,66E+01;265;;;;;
2,67E+00;266;;;;;
2,68E+01;267;;;;;
2,69E+01;268;;;;;
