Time (s);Pressure (hPa)
2,29E+10;9,81E+11
2,30E+10;9,81E+11
2,31E+10;9,81E+11
2,32E+10;9,81E+11
2,33E+10;9,81E+11
2,34E+10;9,81E+11
2,35E+10;9,81E+11
2,36E+10;9,81E+11
2,37E+10;9,81E+11
2,38E+10;9,81E+11
2,39E+10;9,81E+11
2,40E+10;9,81E+11
2,41E+10;9,81E+11
2,42E+10;9,81E+11
2,43E+10;9,81E+11
2,44E+10;9,81E+11
2,45E+10;9,81E+11
2,46E+10;9,81E+11
2,47E+10;9,81E+11
2,48E+10;9,81E+11
2,49E+10;9,81E+11
2,50E+10;9,81E+11
2,51E+10;9,81E+11
2,52E+10;9,81E+11
2,53E+10;9,81E+11
2,54E+10;9,81E+11
2,55E+10;9,81E+11
2,56E+10;9,81E+11
2,57E+10;9,81E+11
2,58E+10;9,81E+11
2,59E+10;9,81E+11
2,60E+10;9,81E+11
2,61E+10;9,81E+11
2,62E+10;9,81E+11
2,63E+10;9,81E+11
2,64E+10;9,81E+11
2,65E+10;9,81E+11
2,66E+10;9,81E+11
2,67E+10;9,81E+11
2,68E+10;9,81E+11
2,69E+10;9,81E+11
