Time (s);Pressure (hPa)
0.202411272;987.6162109
0.302411272;987.5754395
0.402411272;987.5512695
0.502411272;987.4956055
0.602411272;987.4777832
0.702411272;987.5424805
0.802411272;987.5566406
0.902411272;987.5407715
1.002411272;987.5024414
1.102411272;987.4934082
1.202411272;987.5175781
1.302411272;987.5637207
1.402411272;987.6181641
1.502411272;987.6455078
1.602411272;987.6530762
1.702411272;987.6931152
1.802411272;987.6965332
1.902411272;987.6899414
2.002411272;0
2.102411272;0
2.202411272;987.6853027
2.302411272;987.6958008
2.402411272;987.7001953
2.502411272;987.6728516
2.602411272;987.6953125
2.702411272;987.7175293
2.802411272;987.7253418
2.904382422;987.734375
3.004382422;-1
3.104382422;987.762207
3.204382422;987.760498
3.304382422;987.7751465
3.404382422;987.782959
3.504382422;987.7692871
3.604382422;987.7683105
3.704382422;987.7683105
3.804382422;987.7753906
3.904382422;987.7758789
4.004382422;987.7746582
4.104382422;987.7924805
4.204382422;987.8000488
4.304382422;987.8100586
4.404382422;987.7988281
4.504382422;987.8059082
4.604382422;987.7875977
4.704382422;9877553711
4.804382422;987.7529297
4.904382422;987.7512207
5.004382422;987.7338867
5.104382422;987.7277832
5.204382422;987.7426758
5.304382422;987.7282715
5.404382422;987.7160645
5.504382422;987.713623
5.604382422;987.7502441
5.704382422;987.755127
5.804382422;987.7453613
5.904382422;987.7336426
6.004382422;987.7158203
6.104382422;987.7009277
6.204382422;987.7231445
17.58965489;987.748291
6.404382422;987.7587891
6.504382422;987.7744141
6.604382422;987.7880859
6.704382422;987.7844238
6.804382422;987.7883301
6.904382422;987.8071289
7.004382422;987.807373
7.104382422;987.786377
7.204382422;987.8029785
7.304382422;987.8083496
7.404382422;987.7902832
7.504382422;987.8054199
7.604382422;987.8059082
7.704382422;987.786377
7.804382422;987.7912598
7.904382422;987.7905273
8.004382422;987.8071289
8.104382422;987.7824707
8.204382422;987.7993164
8.304382422;987.807373
8.404382422;987.8120117
8.504382422;-1
8.604382422;-1
8.704233226;-1
8.804233226;987.7602539
8.904233226;987.767334
9.004233226;987.767334
9.104233226;987.7399902
9.204233226;987.7412109
9.304233226;987.7583008
9.404233226;987.7492676
9.504233226;987.7702637
9.604233226;987.784668
9.704233226;987.7841797
9.804233226;987.7490234
9.904233226;987.7590332
10.00423323;987.7626953
10.10423323;987.7680664
10.20423323;987.7802734
10.30423323;987.7890625
10.40423323;987.7700195
10.50423323;987.7614746
10.60423323;987.7783203
10.70423323;987.7783203
10.80423323;987.7648926
