"event";"experiment time";"system time";"system time text"
"START";0.000000000E0;1695893715.702;"2023-09-28 11:35:15.702 UTC+02:00"
"PAUSE";3.206793725E1;1695893747.769;"2023-09-28 11:35:47.769 UTC+02:00"
