"event","experiment time","system time","system time text"
"START",0.000000000E0,1665394281.274,"2022-10-10 11:31:21.274 UTC+02:00"
"PAUSE",2.696889840E1,1665394308.243,"2022-10-10 11:31:48.243 UTC+02:00"
